Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_016920845.1	Primary Assembly	Un			JACDQR010000409.1	Chromosome		NW_024399391.1	unplaced-scaffold	3389			Contig431
GCF_016920845.1	Primary Assembly	Un			JACDQR010000410.1	Chromosome		NW_024399392.1	unplaced-scaffold	3860			Contig432
GCF_016920845.1	Primary Assembly	Un			JACDQR010000411.1	Chromosome		NW_024399393.1	unplaced-scaffold	866			Contig433
GCF_016920845.1	Primary Assembly	Un			JACDQR010000412.1	Chromosome		NW_024399394.1	unplaced-scaffold	9500			Contig434
GCF_016920845.1	Primary Assembly	Un			JACDQR010000413.1	Chromosome		NW_024399395.1	unplaced-scaffold	20948			Contig435
GCF_016920845.1	Primary Assembly	Un			JACDQR010000414.1	Chromosome		NW_024399396.1	unplaced-scaffold	5569			Contig436
GCF_016920845.1	Primary Assembly	Un			JACDQR010000415.1	Chromosome		NW_024399397.1	unplaced-scaffold	2013			Contig437
GCF_016920845.1	Primary Assembly	Un			JACDQR010000416.1	Chromosome		NW_024399398.1	unplaced-scaffold	2673			Contig438
GCF_016920845.1	Primary Assembly	Un			JACDQR010000417.1	Chromosome		NW_024399399.1	unplaced-scaffold	2755			Contig439
GCF_016920845.1	Primary Assembly	Un			JACDQR010000418.1	Chromosome		NW_024399401.1	unplaced-scaffold	3532			Contig440
GCF_016920845.1	Primary Assembly	Un			JACDQR010000419.1	Chromosome		NW_024399402.1	unplaced-scaffold	7262			Contig441
GCF_016920845.1	Primary Assembly	Un			JACDQR010000420.1	Chromosome		NW_024399403.1	unplaced-scaffold	13708			Contig442
GCF_016920845.1	Primary Assembly	Un			JACDQR010000421.1	Chromosome		NW_024399404.1	unplaced-scaffold	2119			Contig443
GCF_016920845.1	Primary Assembly	Un			JACDQR010000422.1	Chromosome		NW_024399405.1	unplaced-scaffold	4816			Contig444
GCF_016920845.1	Primary Assembly	Un			JACDQR010000423.1	Chromosome		NW_024399406.1	unplaced-scaffold	10510			Contig445
GCF_016920845.1	Primary Assembly	Un			JACDQR010000424.1	Chromosome		NW_024399407.1	unplaced-scaffold	56491			Contig446
GCF_016920845.1	Primary Assembly	Un			JACDQR010000425.1	Chromosome		NW_024399408.1	unplaced-scaffold	3048			Contig447
GCF_016920845.1	Primary Assembly	Un			JACDQR010000426.1	Chromosome		NW_024399409.1	unplaced-scaffold	5442			Contig448
GCF_016920845.1	Primary Assembly	Un			JACDQR010000427.1	Chromosome		NW_024399410.1	unplaced-scaffold	4569			Contig449
GCF_016920845.1	Primary Assembly	Un			JACDQR010000428.1	Chromosome		NW_024399412.1	unplaced-scaffold	2106			Contig450
GCF_016920845.1	Primary Assembly	Un			JACDQR010000429.1	Chromosome		NW_024399413.1	unplaced-scaffold	2113			Contig451
GCF_016920845.1	Primary Assembly	Un			JACDQR010000430.1	Chromosome		NW_024399414.1	unplaced-scaffold	790			Contig452
GCF_016920845.1	Primary Assembly	Un			JACDQR010000431.1	Chromosome		NW_024399415.1	unplaced-scaffold	9083			Contig453
GCF_016920845.1	Primary Assembly	Un			JACDQR010000432.1	Chromosome		NW_024399416.1	unplaced-scaffold	5659			Contig454
GCF_016920845.1	Primary Assembly	Un			JACDQR010000433.1	Chromosome		NW_024399417.1	unplaced-scaffold	2884			Contig455
GCF_016920845.1	Primary Assembly	Un			JACDQR010000434.1	Chromosome		NW_024399418.1	unplaced-scaffold	4082			Contig456
GCF_016920845.1	Primary Assembly	Un			JACDQR010000435.1	Chromosome		NW_024399419.1	unplaced-scaffold	14757			Contig457
GCF_016920845.1	Primary Assembly	Un			JACDQR010000436.1	Chromosome		NW_024399420.1	unplaced-scaffold	2196			Contig458
GCF_016920845.1	Primary Assembly	Un			JACDQR010000437.1	Chromosome		NW_024399421.1	unplaced-scaffold	5204			Contig459
GCF_016920845.1	Primary Assembly	Un			JACDQR010000438.1	Chromosome		NW_024399422.1	unplaced-scaffold	1550			Contig460
GCF_016920845.1	Primary Assembly	Un			JACDQR010000439.1	Chromosome		NW_024399423.1	unplaced-scaffold	30996			Contig461
GCF_016920845.1	Primary Assembly	Un			JACDQR010000440.1	Chromosome		NW_024399424.1	unplaced-scaffold	1435			Contig462
GCF_016920845.1	Primary Assembly	Un			JACDQR010000441.1	Chromosome		NW_024399425.1	unplaced-scaffold	2133			Contig463
GCF_016920845.1	Primary Assembly	Un			JACDQR010000442.1	Chromosome		NW_024399426.1	unplaced-scaffold	2178			Contig464
GCF_016920845.1	Primary Assembly	Un			JACDQR010000443.1	Chromosome		NW_024399427.1	unplaced-scaffold	2838			Contig465
GCF_016920845.1	Primary Assembly	Un			JACDQR010000444.1	Chromosome		NW_024399428.1	unplaced-scaffold	3758			Contig466
GCF_016920845.1	Primary Assembly	Un			JACDQR010000445.1	Chromosome		NW_024399429.1	unplaced-scaffold	1030			Contig467
GCF_016920845.1	Primary Assembly	Un			JACDQR010000446.1	Chromosome		NW_024399430.1	unplaced-scaffold	6720			Contig468
GCF_016920845.1	Primary Assembly	Un			JACDQR010000447.1	Chromosome		NW_024399431.1	unplaced-scaffold	4954			Contig469
GCF_016920845.1	Primary Assembly	Un			JACDQR010000448.1	Chromosome		NW_024399433.1	unplaced-scaffold	1210			Contig471
GCF_016920845.1	Primary Assembly	Un			JACDQR010000449.1	Chromosome		NW_024399434.1	unplaced-scaffold	49802			Contig472
GCF_016920845.1	Primary Assembly	Un			JACDQR010000450.1	Chromosome		NW_024399435.1	unplaced-scaffold	3265			Contig473
GCF_016920845.1	Primary Assembly	Un			JACDQR010000451.1	Chromosome		NW_024399436.1	unplaced-scaffold	11108			Contig474
GCF_016920845.1	Primary Assembly	Un			JACDQR010000452.1	Chromosome		NW_024399437.1	unplaced-scaffold	5443			Contig475
GCF_016920845.1	Primary Assembly	Un			JACDQR010000453.1	Chromosome		NW_024399438.1	unplaced-scaffold	16615			Contig476
GCF_016920845.1	Primary Assembly	Un			JACDQR010000454.1	Chromosome		NW_024399439.1	unplaced-scaffold	2186			Contig477
GCF_016920845.1	Primary Assembly	Un			JACDQR010000455.1	Chromosome		NW_024399440.1	unplaced-scaffold	1554			Contig478
GCF_016920845.1	Primary Assembly	Un			JACDQR010000456.1	Chromosome		NW_024399441.1	unplaced-scaffold	17786			Contig479
GCF_016920845.1	Primary Assembly	Un			JACDQR010000457.1	Chromosome		NW_024399443.1	unplaced-scaffold	14207			Contig480
GCF_016920845.1	Primary Assembly	Un			JACDQR010000458.1	Chromosome		NW_024399444.1	unplaced-scaffold	9509			Contig481
GCF_016920845.1	Primary Assembly	Un			JACDQR010000459.1	Chromosome		NW_024399445.1	unplaced-scaffold	1856			Contig482
GCF_016920845.1	Primary Assembly	Un			JACDQR010000460.1	Chromosome		NW_024399446.1	unplaced-scaffold	1024			Contig483
GCF_016920845.1	Primary Assembly	Un			JACDQR010000461.1	Chromosome		NW_024399447.1	unplaced-scaffold	1647			Contig484
GCF_016920845.1	Primary Assembly	Un			JACDQR010000462.1	Chromosome		NW_024399448.1	unplaced-scaffold	7854			Contig485
GCF_016920845.1	Primary Assembly	Un			JACDQR010000463.1	Chromosome		NW_024399449.1	unplaced-scaffold	17181			Contig486
GCF_016920845.1	Primary Assembly	Un			JACDQR010000464.1	Chromosome		NW_024399450.1	unplaced-scaffold	12484			Contig487
GCF_016920845.1	Primary Assembly	Un			JACDQR010000465.1	Chromosome		NW_024399451.1	unplaced-scaffold	52607			Contig488
GCF_016920845.1	Primary Assembly	Un			JACDQR010000466.1	Chromosome		NW_024399452.1	unplaced-scaffold	6174			Contig489
GCF_016920845.1	Primary Assembly	Un			JACDQR010000467.1	Chromosome		NW_024399454.1	unplaced-scaffold	75318			Contig490
GCF_016920845.1	Primary Assembly	Un			JACDQR010000468.1	Chromosome		NW_024399455.1	unplaced-scaffold	30051			Contig493
GCF_016920845.1	Primary Assembly	Un			JACDQR010000469.1	Chromosome		NW_024399456.1	unplaced-scaffold	8027			Contig494
GCF_016920845.1	Primary Assembly	Un			JACDQR010000470.1	Chromosome		NW_024399457.1	unplaced-scaffold	6235			Contig495
GCF_016920845.1	Primary Assembly	Un			JACDQR010000471.1	Chromosome		NW_024399458.1	unplaced-scaffold	30043			Contig496
GCF_016920845.1	Primary Assembly	Un			JACDQR010000472.1	Chromosome		NW_024399459.1	unplaced-scaffold	5022			Contig497
GCF_016920845.1	Primary Assembly	Un			JACDQR010000473.1	Chromosome		NW_024399460.1	unplaced-scaffold	2124			Contig499
GCF_016920845.1	Primary Assembly	Un			JACDQR010000474.1	Chromosome		NW_024399463.1	unplaced-scaffold	776			Contig500
GCF_016920845.1	Primary Assembly	Un			JACDQR010000475.1	Chromosome		NW_024399464.1	unplaced-scaffold	9068			Contig501
GCF_016920845.1	Primary Assembly	Un			JACDQR010000476.1	Chromosome		NW_024399465.1	unplaced-scaffold	3497			Contig502
GCF_016920845.1	Primary Assembly	Un			JACDQR010000477.1	Chromosome		NW_024399466.1	unplaced-scaffold	1540			Contig503
GCF_016920845.1	Primary Assembly	Un			JACDQR010000478.1	Chromosome		NW_024399467.1	unplaced-scaffold	857			Contig504
GCF_016920845.1	Primary Assembly	Un			JACDQR010000479.1	Chromosome		NW_024399468.1	unplaced-scaffold	33509			Contig505
GCF_016920845.1	Primary Assembly	Un			JACDQR010000480.1	Chromosome		NW_024399469.1	unplaced-scaffold	3244			Contig506
GCF_016920845.1	Primary Assembly	Un			JACDQR010000481.1	Chromosome		NW_024399470.1	unplaced-scaffold	7036			Contig507
GCF_016920845.1	Primary Assembly	Un			JACDQR010000482.1	Chromosome		NW_024399471.1	unplaced-scaffold	8825			Contig508
GCF_016920845.1	Primary Assembly	Un			JACDQR010000483.1	Chromosome		NW_024399472.1	unplaced-scaffold	2757			Contig509
GCF_016920845.1	Primary Assembly	Un			JACDQR010000484.1	Chromosome		NW_024399474.1	unplaced-scaffold	2294			Contig510
GCF_016920845.1	Primary Assembly	Un			JACDQR010000485.1	Chromosome		NW_024399475.1	unplaced-scaffold	27313			Contig511
GCF_016920845.1	Primary Assembly	Un			JACDQR010000486.1	Chromosome		NW_024399476.1	unplaced-scaffold	1290			Contig512
GCF_016920845.1	Primary Assembly	Un			JACDQR010000487.1	Chromosome		NW_024399477.1	unplaced-scaffold	5327			Contig513
GCF_016920845.1	Primary Assembly	Un			JACDQR010000488.1	Chromosome		NW_024399478.1	unplaced-scaffold	19554			Contig514
GCF_016920845.1	Primary Assembly	Un			JACDQR010000489.1	Chromosome		NW_024399479.1	unplaced-scaffold	8590			Contig515
GCF_016920845.1	Primary Assembly	Un			JACDQR010000490.1	Chromosome		NW_024399480.1	unplaced-scaffold	2241			Contig516
GCF_016920845.1	Primary Assembly	Un			JACDQR010000491.1	Chromosome		NW_024399481.1	unplaced-scaffold	2869			Contig517
GCF_016920845.1	Primary Assembly	Un			JACDQR010000492.1	Chromosome		NW_024399482.1	unplaced-scaffold	39207			Contig518
GCF_016920845.1	Primary Assembly	Un			JACDQR010000493.1	Chromosome		NW_024399483.1	unplaced-scaffold	2501			Contig519
GCF_016920845.1	Primary Assembly	Un			JACDQR010000494.1	Chromosome		NW_024399485.1	unplaced-scaffold	21779			Contig520
GCF_016920845.1	Primary Assembly	Un			JACDQR010000495.1	Chromosome		NW_024399486.1	unplaced-scaffold	1724			Contig521
GCF_016920845.1	Primary Assembly	Un			JACDQR010000496.1	Chromosome		NW_024399487.1	unplaced-scaffold	1108			Contig522
GCF_016920845.1	Primary Assembly	Un			JACDQR010000497.1	Chromosome		NW_024399488.1	unplaced-scaffold	1593			Contig523
GCF_016920845.1	Primary Assembly	Un			JACDQR010000498.1	Chromosome		NW_024399489.1	unplaced-scaffold	3664			Contig524
GCF_016920845.1	Primary Assembly	Un			JACDQR010000499.1	Chromosome		NW_024399490.1	unplaced-scaffold	2220			Contig525
GCF_016920845.1	Primary Assembly	Un			JACDQR010000500.1	Chromosome		NW_024399491.1	unplaced-scaffold	3601			Contig526
GCF_016920845.1	Primary Assembly	Un			JACDQR010000501.1	Chromosome		NW_024399492.1	unplaced-scaffold	9444			Contig527
GCF_016920845.1	Primary Assembly	Un			JACDQR010000502.1	Chromosome		NW_024399493.1	unplaced-scaffold	35227			Contig528
GCF_016920845.1	Primary Assembly	Un			JACDQR010000503.1	Chromosome		NW_024399494.1	unplaced-scaffold	2383			Contig529
GCF_016920845.1	Primary Assembly	Un			JACDQR010000504.1	Chromosome		NW_024399496.1	unplaced-scaffold	1196			Contig530
GCF_016920845.1	Primary Assembly	Un			JACDQR010000505.1	Chromosome		NW_024399497.1	unplaced-scaffold	15083			Contig531
GCF_016920845.1	Primary Assembly	Un			JACDQR010000506.1	Chromosome		NW_024399498.1	unplaced-scaffold	3148			Contig534
GCF_016920845.1	Primary Assembly	Un			JACDQR010000507.1	Chromosome		NW_024399499.1	unplaced-scaffold	29045			Contig535
GCF_016920845.1	Primary Assembly	Un			JACDQR010000508.1	Chromosome		NW_024399500.1	unplaced-scaffold	4095			Contig536
GCF_016920845.1	Primary Assembly	Un			JACDQR010000509.1	Chromosome		NW_024399501.1	unplaced-scaffold	4186			Contig537
GCF_016920845.1	Primary Assembly	Un			JACDQR010000510.1	Chromosome		NW_024399502.1	unplaced-scaffold	11936			Contig538
GCF_016920845.1	Primary Assembly	Un			JACDQR010000511.1	Chromosome		NW_024399503.1	unplaced-scaffold	22339			Contig539
GCF_016920845.1	Primary Assembly	Un			JACDQR010000512.1	Chromosome		NW_024399505.1	unplaced-scaffold	2005			Contig540
GCF_016920845.1	Primary Assembly	Un			JACDQR010000513.1	Chromosome		NW_024399506.1	unplaced-scaffold	2478			Contig541
GCF_016920845.1	Primary Assembly	Un			JACDQR010000514.1	Chromosome		NW_024399507.1	unplaced-scaffold	2749			Contig542
GCF_016920845.1	Primary Assembly	Un			JACDQR010000515.1	Chromosome		NW_024399508.1	unplaced-scaffold	3491			Contig543
GCF_016920845.1	Primary Assembly	Un			JACDQR010000516.1	Chromosome		NW_024399509.1	unplaced-scaffold	3241			Contig544
GCF_016920845.1	Primary Assembly	Un			JACDQR010000517.1	Chromosome		NW_024399510.1	unplaced-scaffold	2070			Contig545
GCF_016920845.1	Primary Assembly	Un			JACDQR010000518.1	Chromosome		NW_024399511.1	unplaced-scaffold	8443			Contig546
GCF_016920845.1	Primary Assembly	Un			JACDQR010000519.1	Chromosome		NW_024399512.1	unplaced-scaffold	18155			Contig547
GCF_016920845.1	Primary Assembly	Un			JACDQR010000520.1	Chromosome		NW_024399513.1	unplaced-scaffold	28542			Contig548
GCF_016920845.1	Primary Assembly	Un			JACDQR010000521.1	Chromosome		NW_024399514.1	unplaced-scaffold	13742			Contig549
GCF_016920845.1	Primary Assembly	Un			JACDQR010000522.1	Chromosome		NW_024399516.1	unplaced-scaffold	1865			Contig550
GCF_016920845.1	Primary Assembly	Un			JACDQR010000523.1	Chromosome		NW_024399517.1	unplaced-scaffold	3068			Contig551
GCF_016920845.1	Primary Assembly	Un			JACDQR010000524.1	Chromosome		NW_024399518.1	unplaced-scaffold	25635			Contig552
GCF_016920845.1	Primary Assembly	Un			JACDQR010000525.1	Chromosome		NW_024399519.1	unplaced-scaffold	2980			Contig553
GCF_016920845.1	Primary Assembly	Un			JACDQR010000526.1	Chromosome		NW_024399520.1	unplaced-scaffold	13871			Contig555
GCF_016920845.1	Primary Assembly	Un			JACDQR010000527.1	Chromosome		NW_024399521.1	unplaced-scaffold	13379			Contig556
GCF_016920845.1	Primary Assembly	Un			JACDQR010000528.1	Chromosome		NW_024399522.1	unplaced-scaffold	21050			Contig557
GCF_016920845.1	Primary Assembly	Un			JACDQR010000529.1	Chromosome		NW_024399524.1	unplaced-scaffold	23064			Contig560
GCF_016920845.1	Primary Assembly	Un			JACDQR010000530.1	Chromosome		NW_024399525.1	unplaced-scaffold	1366			Contig561
GCF_016920845.1	Primary Assembly	Un			JACDQR010000531.1	Chromosome		NW_024399526.1	unplaced-scaffold	9067			Contig563
GCF_016920845.1	Primary Assembly	Un			JACDQR010000532.1	Chromosome		NW_024399527.1	unplaced-scaffold	24465			Contig564
GCF_016920845.1	Primary Assembly	Un			JACDQR010000533.1	Chromosome		NW_024399528.1	unplaced-scaffold	2175			Contig565
GCF_016920845.1	Primary Assembly	Un			JACDQR010000534.1	Chromosome		NW_024399529.1	unplaced-scaffold	13425			Contig567
GCF_016920845.1	Primary Assembly	Un			JACDQR010000535.1	Chromosome		NW_024399530.1	unplaced-scaffold	25277			Contig568
GCF_016920845.1	Primary Assembly	Un			JACDQR010000536.1	Chromosome		NW_024399531.1	unplaced-scaffold	5740			Contig569
GCF_016920845.1	Primary Assembly	Un			JACDQR010000537.1	Chromosome		NW_024399533.1	unplaced-scaffold	1507			Contig570
GCF_016920845.1	Primary Assembly	Un			JACDQR010000538.1	Chromosome		NW_024399534.1	unplaced-scaffold	1451			Contig571
GCF_016920845.1	Primary Assembly	Un			JACDQR010000539.1	Chromosome		NW_024399535.1	unplaced-scaffold	15563			Contig572
GCF_016920845.1	Primary Assembly	Un			JACDQR010000540.1	Chromosome		NW_024399536.1	unplaced-scaffold	2152			Contig573
GCF_016920845.1	Primary Assembly	Un			JACDQR010000541.1	Chromosome		NW_024399537.1	unplaced-scaffold	13486			Contig574
GCF_016920845.1	Primary Assembly	Un			JACDQR010000542.1	Chromosome		NW_024399538.1	unplaced-scaffold	19535			Contig575
GCF_016920845.1	Primary Assembly	Un			JACDQR010000543.1	Chromosome		NW_024399539.1	unplaced-scaffold	5864			Contig576
GCF_016920845.1	Primary Assembly	Un			JACDQR010000544.1	Chromosome		NW_024399540.1	unplaced-scaffold	1745			Contig577
GCF_016920845.1	Primary Assembly	Un			JACDQR010000545.1	Chromosome		NW_024399541.1	unplaced-scaffold	8705			Contig578
GCF_016920845.1	Primary Assembly	Un			JACDQR010000546.1	Chromosome		NW_024399542.1	unplaced-scaffold	4735			Contig579
GCF_016920845.1	Primary Assembly	Un			JACDQR010000547.1	Chromosome		NW_024399544.1	unplaced-scaffold	1928			Contig580
GCF_016920845.1	Primary Assembly	Un			JACDQR010000548.1	Chromosome		NW_024399545.1	unplaced-scaffold	17146			Contig581
GCF_016920845.1	Primary Assembly	Un			JACDQR010000549.1	Chromosome		NW_024399546.1	unplaced-scaffold	9063			Contig582
GCF_016920845.1	Primary Assembly	Un			JACDQR010000550.1	Chromosome		NW_024399547.1	unplaced-scaffold	57086			Contig583
GCF_016920845.1	Primary Assembly	Un			JACDQR010000551.1	Chromosome		NW_024399548.1	unplaced-scaffold	7384			Contig586
GCF_016920845.1	Primary Assembly	Un			JACDQR010000552.1	Chromosome		NW_024399549.1	unplaced-scaffold	2692			Contig588
GCF_016920845.1	Primary Assembly	Un			JACDQR010000553.1	Chromosome		NW_024399550.1	unplaced-scaffold	2445			Contig589
GCF_016920845.1	Primary Assembly	Un			JACDQR010000554.1	Chromosome		NW_024399552.1	unplaced-scaffold	29912			Contig591
GCF_016920845.1	Primary Assembly	Un			JACDQR010000555.1	Chromosome		NW_024399553.1	unplaced-scaffold	20289			Contig593
GCF_016920845.1	Primary Assembly	Un			JACDQR010000556.1	Chromosome		NW_024399554.1	unplaced-scaffold	1993			Contig595
GCF_016920845.1	Primary Assembly	Un			JACDQR010000557.1	Chromosome		NW_024399555.1	unplaced-scaffold	2600			Contig596
GCF_016920845.1	Primary Assembly	Un			JACDQR010000558.1	Chromosome		NW_024399556.1	unplaced-scaffold	2997			Contig597
GCF_016920845.1	Primary Assembly	Un			JACDQR010000559.1	Chromosome		NW_024399557.1	unplaced-scaffold	3154			Contig598
GCF_016920845.1	Primary Assembly	Un			JACDQR010000560.1	Chromosome		NW_024399558.1	unplaced-scaffold	19824			Contig599
GCF_016920845.1	Primary Assembly	Un			JACDQR010000561.1	Chromosome		NW_024399561.1	unplaced-scaffold	1569			Contig600
GCF_016920845.1	Primary Assembly	Un			JACDQR010000562.1	Chromosome		NW_024399562.1	unplaced-scaffold	2897			Contig601
GCF_016920845.1	Primary Assembly	Un			JACDQR010000563.1	Chromosome		NW_024399563.1	unplaced-scaffold	2771			Contig602
GCF_016920845.1	Primary Assembly	Un			JACDQR010000564.1	Chromosome		NW_024399564.1	unplaced-scaffold	20606			Contig603
GCF_016920845.1	Primary Assembly	Un			JACDQR010000565.1	Chromosome		NW_024399565.1	unplaced-scaffold	3184			Contig604
GCF_016920845.1	Primary Assembly	Un			JACDQR010000566.1	Chromosome		NW_024399566.1	unplaced-scaffold	2531			Contig605
GCF_016920845.1	Primary Assembly	Un			JACDQR010000567.1	Chromosome		NW_024399567.1	unplaced-scaffold	63626			Contig606
GCF_016920845.1	Primary Assembly	Un			JACDQR010000568.1	Chromosome		NW_024399568.1	unplaced-scaffold	1526			Contig607
GCF_016920845.1	Primary Assembly	Un			JACDQR010000569.1	Chromosome		NW_024399569.1	unplaced-scaffold	3095			Contig608
GCF_016920845.1	Primary Assembly	Un			JACDQR010000570.1	Chromosome		NW_024399570.1	unplaced-scaffold	5869			Contig609
GCF_016920845.1	Primary Assembly	Un			JACDQR010000571.1	Chromosome		NW_024399572.1	unplaced-scaffold	5888			Contig610
GCF_016920845.1	Primary Assembly	Un			JACDQR010000572.1	Chromosome		NW_024399573.1	unplaced-scaffold	7611			Contig612
GCF_016920845.1	Primary Assembly	Un			JACDQR010000573.1	Chromosome		NW_024399574.1	unplaced-scaffold	12367			Contig613
GCF_016920845.1	Primary Assembly	Un			JACDQR010000574.1	Chromosome		NW_024399575.1	unplaced-scaffold	14213			Contig614
GCF_016920845.1	Primary Assembly	Un			JACDQR010000575.1	Chromosome		NW_024399576.1	unplaced-scaffold	11295			Contig615
GCF_016920845.1	Primary Assembly	Un			JACDQR010000576.1	Chromosome		NW_024399577.1	unplaced-scaffold	1421			Contig616
GCF_016920845.1	Primary Assembly	Un			JACDQR010000577.1	Chromosome		NW_024399578.1	unplaced-scaffold	3080			Contig617
GCF_016920845.1	Primary Assembly	Un			JACDQR010000578.1	Chromosome		NW_024399579.1	unplaced-scaffold	1901			Contig618
GCF_016920845.1	Primary Assembly	Un			JACDQR010000579.1	Chromosome		NW_024399580.1	unplaced-scaffold	17826			Contig619
GCF_016920845.1	Primary Assembly	Un			JACDQR010000580.1	Chromosome		NW_024399582.1	unplaced-scaffold	2950			Contig620
GCF_016920845.1	Primary Assembly	Un			JACDQR010000581.1	Chromosome		NW_024399583.1	unplaced-scaffold	41246			Contig621
GCF_016920845.1	Primary Assembly	Un			JACDQR010000582.1	Chromosome		NW_024399584.1	unplaced-scaffold	11055			Contig622
GCF_016920845.1	Primary Assembly	Un			JACDQR010000583.1	Chromosome		NW_024399585.1	unplaced-scaffold	7155			Contig623
GCF_016920845.1	Primary Assembly	Un			JACDQR010000584.1	Chromosome		NW_024399586.1	unplaced-scaffold	18880			Contig624
GCF_016920845.1	Primary Assembly	Un			JACDQR010000585.1	Chromosome		NW_024399587.1	unplaced-scaffold	1373			Contig625
GCF_016920845.1	Primary Assembly	Un			JACDQR010000586.1	Chromosome		NW_024399588.1	unplaced-scaffold	16987			Contig626
GCF_016920845.1	Primary Assembly	Un			JACDQR010000587.1	Chromosome		NW_024399589.1	unplaced-scaffold	5367			Contig627
GCF_016920845.1	Primary Assembly	Un			JACDQR010000588.1	Chromosome		NW_024399590.1	unplaced-scaffold	13767			Contig628
GCF_016920845.1	Primary Assembly	Un			JACDQR010000589.1	Chromosome		NW_024399591.1	unplaced-scaffold	1404			Contig629
GCF_016920845.1	Primary Assembly	Un			JACDQR010000590.1	Chromosome		NW_024399593.1	unplaced-scaffold	1181			Contig630
GCF_016920845.1	Primary Assembly	Un			JACDQR010000591.1	Chromosome		NW_024399594.1	unplaced-scaffold	2247			Contig631
GCF_016920845.1	Primary Assembly	Un			JACDQR010000592.1	Chromosome		NW_024399595.1	unplaced-scaffold	3412			Contig632
GCF_016920845.1	Primary Assembly	Un			JACDQR010000593.1	Chromosome		NW_024399596.1	unplaced-scaffold	2469			Contig633
GCF_016920845.1	Primary Assembly	Un			JACDQR010000594.1	Chromosome		NW_024399597.1	unplaced-scaffold	14556			Contig634
GCF_016920845.1	Primary Assembly	Un			JACDQR010000595.1	Chromosome		NW_024399598.1	unplaced-scaffold	20833			Contig635
GCF_016920845.1	Primary Assembly	Un			JACDQR010000596.1	Chromosome		NW_024399599.1	unplaced-scaffold	1369			Contig636
GCF_016920845.1	Primary Assembly	Un			JACDQR010000597.1	Chromosome		NW_024399600.1	unplaced-scaffold	2267			Contig637
GCF_016920845.1	Primary Assembly	Un			JACDQR010000598.1	Chromosome		NW_024399601.1	unplaced-scaffold	4605			Contig638
GCF_016920845.1	Primary Assembly	Un			JACDQR010000599.1	Chromosome		NW_024399602.1	unplaced-scaffold	10251			Contig639
GCF_016920845.1	Primary Assembly	Un			JACDQR010000600.1	Chromosome		NW_024399604.1	unplaced-scaffold	7070			Contig640
GCF_016920845.1	Primary Assembly	Un			JACDQR010000601.1	Chromosome		NW_024399605.1	unplaced-scaffold	32070			Contig641
GCF_016920845.1	Primary Assembly	Un			JACDQR010000602.1	Chromosome		NW_024399606.1	unplaced-scaffold	4999			Contig642
GCF_016920845.1	Primary Assembly	Un			JACDQR010000603.1	Chromosome		NW_024399607.1	unplaced-scaffold	2314			Contig643
GCF_016920845.1	Primary Assembly	Un			JACDQR010000604.1	Chromosome		NW_024399608.1	unplaced-scaffold	12879			Contig644
GCF_016920845.1	Primary Assembly	Un			JACDQR010000605.1	Chromosome		NW_024399609.1	unplaced-scaffold	8134			Contig645
GCF_016920845.1	Primary Assembly	Un			JACDQR010000606.1	Chromosome		NW_024399610.1	unplaced-scaffold	7478			Contig646
GCF_016920845.1	Primary Assembly	Un			JACDQR010000607.1	Chromosome		NW_024399611.1	unplaced-scaffold	854			Contig647
GCF_016920845.1	Primary Assembly	Un			JACDQR010000608.1	Chromosome		NW_024399612.1	unplaced-scaffold	1340			Contig648
GCF_016920845.1	Primary Assembly	Un			JACDQR010000609.1	Chromosome		NW_024399613.1	unplaced-scaffold	1379			Contig649
GCF_016920845.1	Primary Assembly	Un			JACDQR010000610.1	Chromosome		NW_024399615.1	unplaced-scaffold	2888			Contig650
GCF_016920845.1	Primary Assembly	Un			JACDQR010000611.1	Chromosome		NW_024399616.1	unplaced-scaffold	1217			Contig653
GCF_016920845.1	Primary Assembly	Un			JACDQR010000612.1	Chromosome		NW_024399617.1	unplaced-scaffold	3080			Contig654
GCF_016920845.1	Primary Assembly	Un			JACDQR010000613.1	Chromosome		NW_024399618.1	unplaced-scaffold	19872			Contig655
GCF_016920845.1	Primary Assembly	Un			JACDQR010000614.1	Chromosome		NW_024399619.1	unplaced-scaffold	13466			Contig656
GCF_016920845.1	Primary Assembly	Un			JACDQR010000615.1	Chromosome		NW_024399620.1	unplaced-scaffold	4635			Contig657
GCF_016920845.1	Primary Assembly	Un			JACDQR010000616.1	Chromosome		NW_024399621.1	unplaced-scaffold	1603			Contig658
GCF_016920845.1	Primary Assembly	Un			JACDQR010000617.1	Chromosome		NW_024399622.1	unplaced-scaffold	15635			Contig659
GCF_016920845.1	Primary Assembly	Un			JACDQR010000618.1	Chromosome		NW_024399624.1	unplaced-scaffold	7482			Contig660
GCF_016920845.1	Primary Assembly	Un			JACDQR010000619.1	Chromosome		NW_024399625.1	unplaced-scaffold	3826			Contig661
GCF_016920845.1	Primary Assembly	Un			JACDQR010000620.1	Chromosome		NW_024399626.1	unplaced-scaffold	4855			Contig662
GCF_016920845.1	Primary Assembly	Un			JACDQR010000621.1	Chromosome		NW_024399627.1	unplaced-scaffold	6647			Contig663
